Date,Open,High,Low,Close,Adj Close,Volume
2021-04-29,112.269997,113.815002,109.970001,112.169998,112.169998,407000
2021-04-30,110.849998,112.440002,108.455002,108.750000,108.750000,411200
2021-05-03,109.209999,110.400002,107.119003,107.790001,107.790001,595100
2021-05-04,106.879997,107.254997,102.559998,105.540001,105.540001,712800
2021-05-05,106.449997,107.470001,102.650002,106.320000,106.320000,651000
2021-05-06,106.809998,106.820000,100.830002,105.620003,105.620003,1647000
2021-05-07,93.974998,95.980003,88.879997,89.480003,89.480003,3646400
2021-05-10,89.599998,91.089996,85.570000,89.760002,89.760002,2035200
2021-05-11,87.000000,91.135002,86.230003,90.029999,90.029999,1078200
2021-05-12,88.919998,89.180000,81.330002,82.000000,82.000000,1804100
2021-05-13,82.070000,84.379997,78.000000,79.480003,79.480003,1372800
2021-05-14,80.360001,84.480003,79.660004,83.250000,83.250000,1348900
2021-05-17,82.900002,83.809998,80.220001,83.669998,83.669998,891100
2021-05-18,84.500000,87.160004,82.250000,86.440002,86.440002,1217400
2021-05-19,83.760002,84.599998,81.669998,83.809998,83.809998,1052300
2021-05-20,84.320000,84.949997,82.199997,83.279999,83.279999,1013100
2021-05-21,83.889999,85.500000,83.599998,83.680000,83.680000,631800
2021-05-24,83.930000,85.690002,82.714996,84.589996,84.589996,838700
2021-05-25,91.879997,93.709999,88.070000,88.379997,88.379997,3928800
2021-05-26,88.000000,91.629997,86.330002,90.660004,90.660004,1151400
2021-05-27,91.849998,96.040001,90.019997,95.669998,95.669998,1325400
2021-05-28,95.000000,96.099998,92.894997,93.980003,93.980003,983500
2021-06-01,94.110001,94.809998,89.805000,90.919998,90.919998,1565400
2021-06-02,91.440002,94.940002,89.910004,94.809998,94.809998,894900
2021-06-03,93.459999,93.980003,89.379997,90.589996,90.589996,1822100
2021-06-04,91.879997,91.879997,88.400002,89.279999,89.279999,853100
2021-06-07,89.129997,95.919998,88.900002,95.110001,95.110001,1306200
2021-06-08,94.089996,100.970001,94.000000,100.650002,100.650002,2220000
2021-06-09,100.889999,102.010002,98.879997,99.110001,99.110001,981700
2021-06-10,99.019997,99.769997,95.870003,97.879997,97.879997,602800
2021-06-11,98.500000,100.410004,98.220001,100.300003,100.300003,628400
2021-06-14,100.610001,102.188004,99.500000,100.720001,100.720001,783600
2021-06-15,100.709999,101.989998,98.379997,99.160004,99.160004,578800
2021-06-16,98.669998,100.519997,97.900002,99.680000,99.680000,640100
2021-06-17,99.570000,100.360001,94.410004,96.989998,96.989998,940500
2021-06-18,95.500000,96.360001,93.790001,94.389999,94.389999,729500
2021-06-21,95.000000,95.080002,92.540001,94.699997,94.699997,557900
2021-06-22,94.690002,96.410004,93.739998,96.349998,96.349998,495400
2021-06-23,98.300003,99.500000,96.760002,99.040001,99.040001,550800
2021-06-24,101.000000,111.489998,100.349998,108.059998,108.059998,2147500
2021-06-25,106.519997,109.010002,104.889999,105.230003,105.230003,898700
2021-06-28,105.250000,107.129997,103.510002,105.370003,105.370003,557300
2021-06-29,105.620003,107.070000,104.489998,105.739998,105.739998,362100
2021-06-30,105.430000,107.570000,105.040001,107.019997,107.019997,392800
2021-07-01,108.000000,109.879997,103.269997,103.889999,103.889999,517000
2021-07-02,104.010002,105.564003,103.800003,104.190002,104.190002,320700
2021-07-06,104.190002,107.540001,102.129997,106.559998,106.559998,486500
2021-07-07,106.500000,107.269997,102.349998,104.059998,104.059998,482100
2021-07-08,100.360001,105.230003,99.110001,104.370003,104.370003,465300
2021-07-09,105.360001,106.629997,104.220001,106.059998,106.059998,312400
2021-07-12,104.849998,106.379997,103.699997,103.989998,103.989998,432100
2021-07-13,103.669998,104.160004,101.879997,102.050003,102.050003,437600
2021-07-14,103.440002,103.940002,97.129997,98.320000,98.320000,717900
2021-07-15,97.959999,97.989998,91.199997,93.040001,93.040001,1885500
2021-07-16,94.040001,94.919998,92.235001,92.690002,92.690002,608300
2021-07-19,90.000000,91.660004,87.175003,90.860001,90.860001,934300
2021-07-20,91.730003,95.919998,90.110001,94.820000,94.820000,793500
2021-07-21,95.779999,98.930000,95.260002,97.160004,97.160004,576000
2021-07-22,96.720001,101.583000,96.010002,100.389999,100.389999,980600
2021-07-23,100.800003,101.889999,98.500000,101.019997,101.019997,615400
2021-07-26,101.379997,104.639999,100.209999,104.260002,104.260002,535000
2021-07-27,104.000000,104.980003,100.279999,103.089996,103.089996,654400
2021-07-28,103.000000,104.680000,100.180000,101.489998,101.489998,508800
2021-07-29,102.559998,104.879997,101.699997,102.419998,102.419998,402700
2021-07-30,100.709999,103.535004,99.860001,100.540001,100.540001,501300
2021-08-02,101.290001,101.889999,98.675003,99.279999,99.279999,632900
2021-08-03,99.500000,99.500000,92.542000,93.089996,93.089996,1333400
2021-08-04,92.309998,94.349998,91.800003,92.220001,92.220001,588600
2021-08-05,92.000000,94.180000,91.315002,92.720001,92.720001,1434200
2021-08-06,90.889999,91.500000,88.879997,90.360001,90.360001,973600
2021-08-09,89.940002,90.717003,87.720001,89.949997,89.949997,799300
2021-08-10,90.620003,93.360001,89.980003,91.739998,91.739998,823900
2021-08-11,92.570000,92.570000,90.260002,91.739998,91.739998,479700
2021-08-12,91.010002,92.440002,90.510002,91.410004,91.410004,386000
2021-08-13,90.959999,91.470001,89.010002,89.440002,89.440002,413400
2021-08-16,88.800003,89.000000,86.029999,87.089996,87.089996,476200
2021-08-17,86.150002,87.223999,85.160004,86.889999,86.889999,534300
2021-08-18,86.500000,87.379997,85.150002,85.489998,85.489998,570900
2021-08-19,84.839996,85.599998,82.870003,83.589996,83.589996,550600
2021-08-20,83.709999,84.709999,83.480003,84.150002,84.150002,393400
2021-08-23,84.349998,85.900002,83.629997,85.180000,85.180000,490100
2021-08-24,85.970001,87.690002,85.230003,87.239998,87.239998,444200
2021-08-25,87.099998,88.410004,85.669998,86.860001,86.860001,616200
2021-08-26,86.690002,88.070000,85.135002,85.610001,85.610001,351200
2021-08-27,86.029999,89.239998,85.879997,88.029999,88.029999,569100
2021-08-30,87.809998,88.040001,85.830002,86.150002,86.150002,388000
2021-08-31,86.099998,86.959999,85.809998,86.750000,86.750000,432800
2021-09-01,86.750000,88.394997,86.199997,87.809998,87.809998,445500
2021-09-02,88.309998,89.449997,86.070000,86.540001,86.540001,386000
2021-09-03,86.489998,86.489998,84.790001,85.360001,85.360001,384800
2021-09-07,85.349998,86.739998,84.029999,86.139999,86.139999,571900
2021-09-08,86.510002,87.040001,84.309998,84.760002,84.760002,489200
2021-09-09,85.000000,86.480003,84.309998,84.489998,84.489998,495800
2021-09-10,85.000000,85.699997,82.059998,82.160004,82.160004,771300
2021-09-13,82.430000,84.720001,81.129997,84.550003,84.550003,615300
2021-09-14,84.900002,84.900002,81.809998,82.349998,82.349998,679200
2021-09-15,82.050003,82.500000,80.650002,82.000000,82.000000,607600
2021-09-16,82.150002,86.080002,82.150002,85.480003,85.480003,784100
2021-09-17,85.980003,86.800003,83.720001,83.970001,83.970001,997500
2021-09-20,82.250000,83.160004,80.300003,82.089996,82.089996,759700
2021-09-21,81.800003,82.739998,80.550003,81.860001,81.860001,417800
2021-09-22,82.010002,84.050003,81.400002,81.550003,81.550003,666500
2021-09-23,82.269997,84.290001,82.250000,83.559998,83.559998,950400
2021-09-24,83.709999,86.919998,83.699997,86.000000,86.000000,689500
2021-09-27,86.029999,86.430000,83.820000,83.820000,83.820000,459900
2021-09-28,83.800003,83.800003,81.379997,81.660004,81.660004,529300
2021-09-29,82.730003,83.239998,79.389999,79.660004,79.660004,682200
2021-09-30,79.889999,79.889999,77.589996,78.459999,78.459999,719100
2021-10-01,79.309998,82.160004,78.550003,81.440002,81.440002,657500
2021-10-04,80.870003,80.879997,76.809998,77.239998,77.239998,789900
2021-10-05,77.050003,79.519997,76.620003,78.339996,78.339996,760900
2021-10-06,77.059998,79.120003,76.269997,78.279999,78.279999,515700
2021-10-07,78.779999,80.000000,77.790001,78.029999,78.029999,493700
2021-10-08,78.019997,78.650002,77.250000,78.150002,78.150002,546600
2021-10-11,77.260002,78.900002,75.750000,75.769997,75.769997,561200
2021-10-12,76.089996,76.904999,75.010002,75.269997,75.269997,479600
2021-10-13,75.139999,75.550003,73.120003,74.879997,74.879997,843600
2021-10-14,75.529999,77.610001,74.970001,76.769997,76.769997,1011200
2021-10-15,77.839996,77.970001,75.110001,75.430000,75.430000,490100
2021-10-18,74.860001,76.320000,73.699997,75.919998,75.919998,478900
2021-10-19,76.480003,77.595001,75.470001,76.790001,76.790001,420900
2021-10-20,75.099998,75.500000,71.669998,73.959999,73.959999,1458100
2021-10-21,74.430000,74.669998,72.709999,72.820000,72.820000,935100
2021-10-22,72.540001,72.629997,69.980003,70.680000,70.680000,1288100
2021-10-25,70.949997,72.750000,70.750000,72.050003,72.050003,632900
2021-10-26,72.639999,72.900002,70.019997,70.750000,70.750000,976700
2021-10-27,71.419998,71.540001,69.739998,69.849998,69.849998,724300
2021-10-28,70.129997,70.980003,69.480003,69.769997,69.769997,1133200
2021-10-29,69.150002,70.489998,68.230003,69.169998,69.169998,791500
2021-11-01,71.610001,74.480003,71.360001,74.410004,74.410004,1458200
2021-11-02,74.570000,74.570000,70.740997,70.989998,70.989998,1325600
2021-11-03,72.989998,77.620003,72.070000,75.879997,75.879997,2446900
2021-11-04,76.919998,78.699997,75.199997,78.080002,78.080002,2198600
2021-11-05,85.550003,100.849998,84.290001,90.970001,90.970001,9760100
2021-11-08,89.000000,91.360001,83.650002,83.769997,83.769997,2212700
2021-11-09,83.769997,86.139999,83.154999,83.809998,83.809998,897100
2021-11-10,82.690002,85.820000,82.190002,83.830002,83.830002,717200
2021-11-11,83.639999,85.660004,83.000000,83.860001,83.860001,425700
2021-11-12,83.690002,85.000000,83.309998,84.489998,84.489998,456700
2021-11-15,85.260002,86.720001,84.529999,84.739998,84.739998,493600
2021-11-16,84.589996,85.790001,83.650002,85.269997,85.269997,349100
2021-11-17,84.870003,86.190002,84.264999,84.540001,84.540001,340000
2021-11-18,84.000000,84.680000,81.120003,82.940002,82.940002,508500
2021-11-19,81.669998,82.764999,80.419998,81.930000,81.930000,650700
2021-11-22,82.339996,82.500000,78.540001,78.669998,78.669998,774700
2021-11-23,78.610001,79.290001,75.489998,77.980003,77.980003,687800
2021-11-24,76.680000,79.029999,75.879997,78.699997,78.699997,269400
2021-11-26,74.739998,77.000000,73.699997,75.889999,75.889999,626400
2021-11-29,77.169998,77.519997,73.500000,74.370003,74.370003,562000
2021-11-30,73.680000,74.690002,71.510002,72.989998,72.989998,701000
2021-12-01,74.940002,76.239998,70.209999,70.400002,70.400002,1052100
2021-12-02,70.360001,73.769997,70.139999,73.309998,73.309998,859400
2021-12-03,73.309998,73.425003,68.589996,69.820000,69.820000,957400
2021-12-06,70.500000,75.820000,69.290001,74.760002,74.760002,788900
2021-12-07,76.510002,78.209999,75.419998,75.989998,75.989998,968800
2021-12-08,76.750000,81.830002,76.239998,80.519997,80.519997,850400
2021-12-09,79.180000,80.570000,76.430000,76.629997,76.629997,431300
2021-12-10,77.779999,79.169998,74.330002,75.029999,75.029999,658700
2021-12-13,74.250000,75.440002,71.559998,72.120003,72.120003,585300
2021-12-14,71.209999,73.190002,70.820000,72.290001,72.290001,583100
2021-12-15,71.570000,73.269997,69.180000,72.720001,72.720001,628500
2021-12-16,73.139999,73.699997,67.889999,69.519997,69.519997,864600
2021-12-17,68.580002,72.454002,66.260002,71.620003,71.620003,1670000
2021-12-20,70.000000,71.521004,68.055000,69.980003,69.980003,973900
2021-12-21,71.050003,75.379997,71.050003,74.330002,74.330002,770600
2021-12-22,74.489998,74.800003,72.889999,73.540001,73.540001,496000
2021-12-23,73.900002,74.949997,72.620003,74.519997,74.519997,351000
2021-12-27,74.040001,74.379997,72.599998,73.430000,73.430000,461400
2021-12-28,72.930000,74.794998,71.540001,71.580002,71.580002,317400
2021-12-29,71.410004,71.824997,69.570000,70.110001,70.110001,548100
2021-12-30,70.040001,74.400002,70.035004,73.070000,73.070000,743600
2021-12-31,73.330002,74.114998,71.709999,72.160004,72.160004,369600
2022-01-03,73.599998,76.199997,72.949997,74.570000,74.570000,850200
2022-01-04,74.019997,75.400002,72.000000,73.309998,73.309998,602900
2022-01-05,73.269997,74.089996,69.750000,70.260002,70.260002,665300
2022-01-06,70.269997,72.750000,68.220001,70.540001,70.540001,795100
2022-01-07,69.889999,73.019997,69.410004,69.559998,69.559998,777500
2022-01-10,69.089996,69.275002,65.250000,68.260002,68.260002,986500
